"","mean.diff","mean.1","mean.2","t","df","p.val","p.val.adj","description","cell.up","ligand.up","receptor.in.path","ligand.in.path"
"Protein.dephosphorylation",-0.1512510869277,-0.195154631708016,-0.0439035447803153,-21.8096857666282,446.146560309335,2.60134100196738e-72,5.75802446502892e-72,"Protein dephosphorylation","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Proteolysis",0.133597367516405,0.0549065001028919,-0.0786908674135134,34.8343383648033,436.361064451426,4.27266125591373e-128,2.78713333581127e-127,"Proteolysis","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2","Hspa1b"
"Cellular.amino.acid.metabolic.process",-0.0351973254686268,-0.0035437299672204,0.0316535955014064,-4.84583832009033,446.94296019533,1.74187000346434e-06,1.92563631134947e-06,"Cellular amino acid metabolic process","6","Dact1","Pcbd1",NA
"Lipid.metabolic.process",0.0962383392387366,-0.0642973906478147,-0.160535729886551,18.7740207305577,511.274585861719,3.34992646939285e-60,5.95609670099632e-60,"Lipid metabolic process","6;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3"
"Fatty.acid.metabolic.process",0.0180022278936809,-0.173307219884156,-0.191309447777837,2.60648225838246,499.817493699649,0.0094208456426904,0.00984043791945922,"Fatty acid metabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Phospholipid.metabolic.process",0.0281889920408486,-0.228389582051355,-0.256578574092204,3.48565059758244,414.774775012311,0.000543309502624614,0.000581695500092658,"Phospholipid metabolic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cellular.aromatic.compound.metabolic.process",0.0693582098542143,0.00366392423092611,-0.0656942856232882,19.605087222715,390.246339220851,4.57829900593463e-60,8.1254495871092e-60,"Cellular aromatic compound metabolic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Phosphorus.metabolic.process",0.0714604278550323,-0.0577320336734638,-0.129192461528496,17.9274398754355,385.59575597052,1.04365895110511e-52,1.70481603124134e-52,"Phosphorus metabolic process","6;10;15;1;10;15;10;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1",NA
"Phosphate.containing.compound.metabolic.process",0.0673085401156682,-0.0603436532817643,-0.127652193397432,17.1887393864837,387.748835415286,1.24501322068881e-49,1.96214083580557e-49,"Phosphate-containing compound metabolic process","6;10;15;1;10;15;10;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1",NA
"Nitrogen.compound.metabolic.process",0.129734182863502,0.0240207334669504,-0.105713449396552,36.2757594684629,398.712833706702,2.30925292955778e-128,1.52658666819759e-127,"Nitrogen compound metabolic process","6;10;15;6;1;10;15;6;9;10;14;15;2;3;4;6;6;11;10;15","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1","Dkk3;Itga8;Hspa1b;Dact1;Kcnk2;Prdx4"
"Transport",-0.0290212643249017,-0.0723710261983403,-0.0433497618734386,-13.2624103806367,466.821432999106,2.71154859394832e-34,3.76710206634569e-34,"Transport","6;9;10;14;15;6;6;6;8;10;11;15;10;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a","C2;C2;C2;C2;C2;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3","Rhob;Hspa1b;Stbd1;Kcnk2"
"Ion.transport",-0.0922230356181961,-0.0497347221640489,0.0424883134541472,-25.5046164090557,400.420843154572,6.40134582766794e-86,1.7862112295334e-85,"Ion transport","6;6;8;10;11;15;10;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3","Kcnk2"
"Cation.transport",-0.0350042803278855,-0.0292691030956017,0.00573517723228378,-9.44329203391738,397.065283043972,3.1404511061667e-19,3.85703782989301e-19,"Cation transport","6;6;8;10;11;15;10;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3","Kcnk2"
"Potassium.ion.transport",0.194427827614684,0.241385516463028,0.0469576888483435,28.0924615789649,388.535933218708,1.35394625810229e-95,4.31597755414483e-95,"Potassium ion transport","10;15","Sema6a;Sema6a","Kcnk3;Kcnk3","Kcnk2"
"Neurotransmitter.transport",-0.0514702205067109,0.259120800442316,0.310591020949027,-6.37589034112603,405.992779317015,4.95262071916676e-10,5.68570094216697e-10,"Neurotransmitter transport","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Cellular.ion.homeostasis",-0.101387587477385,-0.134610738423211,-0.0332231509458253,-25.3738926117281,420.677521926949,7.75137672495611e-87,2.19399599829936e-86,"Cellular ion homeostasis","6;6;8;10;11;15;10;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3",NA
"Cellular.calcium.ion.homeostasis",-0.119939378968624,-0.112024439552107,0.00791493941651735,-29.7480967247082,407.802816443268,3.23889148100666e-104,1.22234027156765e-103,"Cellular calcium ion homeostasis","6;6;8;10;11;15;10;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3",NA
"Cellular.metal.ion.homeostasis",-0.0895124856299736,-0.128161100617949,-0.0386486149879759,-22.3131709692575,409.044350286259,1.00341486810576e-72,2.23611684408184e-72,"Cellular metal ion homeostasis","6;6;8;10;11;15;10;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3",NA
"Exocytosis",-0.170628313217297,-0.160907088046854,0.00972122517044301,-26.2388384732988,418.04120266805,2.14906682008433e-90,6.41463884176688e-90,"Exocytosis","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Phagocytosis",-0.0464513315035537,-0.233267724277257,-0.186816392773703,-8.81744463234526,482.12279359961,2.14493531345885e-17,2.57968410715136e-17,"Phagocytosis","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Apoptotic.process",0.0218276444876313,-0.0909437836017775,-0.112771428089409,5.69240293305505,420.10356250583,2.35462937024295e-08,2.6628127780589e-08,"Apoptotic process","6;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Rhob;Hspa1b"
"Response.to.stress",0.00613933683720604,-0.104478527738527,-0.110617864575733,1.71058314691319,456.67128058758,0.0878372372605385,0.0905017559640485,"Response to stress","6;10;15;1;10;15;6;9;10;14;15;6;6;8;10;11;15;10;15;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3;Lgals1","Rhob;Ccl8;Hspa1b;Dact1;Kcnk2;Prdx4;Gbp6;Npy"
"Defense.response",-0.147361119055228,-0.236111991211218,-0.0887508721559902,-29.0714894426743,421.730493077428,8.83045887310168e-103,3.1860813150202e-102,"Defense response","6;9;10;14;15;6;6;8;10;11;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Ccl8;Gbp6;Npy"
"Acute.phase.response",-0.190964818060967,-0.329090538036185,-0.138125719975218,-19.8571405359632,429.042387231412,1.03949383562365e-62,1.94658066176671e-62,"Acute-phase response","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Inflammatory.response",-0.115637382376287,-0.210481125039137,-0.0948437426628501,-22.9537305259474,455.208734381049,5.02799462509644e-78,1.20794505017561e-77,"Inflammatory response","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Ccl8"
"Immune.response",-0.195390431170212,-0.272346066386358,-0.0769556352161458,-40.5627939271731,409.75211129908,1.46777583307131e-145,1.66179217882211e-144,"Immune response","6;10;15;6;9;10;14;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Ccl8;Gbp6;Npy"
"Complement.activation",0.137120732455712,0.0518417818785657,-0.0852789505771466,17.6377186903992,425.50761632245,1.17223783873886e-52,1.91167925688373e-52,"Complement activation","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Complement.activation..classical.pathway",0.198916912830344,0.0612193392159957,-0.137697573614349,20.6245831720833,420.380260253382,8.39517943607675e-66,1.64726130369235e-65,"Complement activation, classical pathway","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Humoral.immune.response",-0.0652051065992582,-0.0632727136047114,0.00193239299454678,-10.4546623103949,451.910263122936,4.66869207518528e-23,5.8358650939816e-23,"Humoral immune response","6;10;15;6;9;10;14;15","Hspa1b;Hspa1b;Hspa1b;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","Gata6;Gata6;Gata6;C2;C2;C2;C2;C2","Npy"
"Response.to.oxidative.stress",0.183315183034082,0.0543233649387896,-0.128991818095293,31.624824163572,438.093313639672,3.75348163969528e-115,1.75221773227481e-114,"Response to oxidative stress","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1","Rhob;Prdx4"
"Cell.communication",0.023251452102263,-0.0726465300580039,-0.0958979821602669,10.9429203206391,431.673748488982,9.17714147656597e-25,1.17243636244066e-24,"Cell communication","6;10;15;1;10;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Itga8;Rhob;Ccl8;Dact1;Kcnk2;Npy"
"Cell.adhesion",0.11529448673031,0.0297128979991842,-0.085581588731126,34.0948374655821,386.085104980863,1.65647403463105e-118,8.32462716383464e-118,"Cell adhesion","2;3;4;6;6;11;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Dkk3","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Lgals1","Itga8;Rhob"
"Heterophilic.cell.cell.adhesion.via.plasma.membrane.cell.adhesion.molecules",0.257389813958832,0.132557041786124,-0.124832772172708,18.2330943056149,414.115162757515,5.92014167460377e-55,9.91724413177672e-55,"Heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","6","Dkk3","Lgals1",NA
"Leukocyte.cell.cell.adhesion",-0.146675449232244,-0.271345077647531,-0.124669628415288,-31.7953500220207,438.595542825069,6.40548543720959e-116,3.06281706585022e-115,"Leukocyte cell-cell adhesion","6","Dkk3","Lgals1",NA
"Cell.matrix.adhesion",0.276766134467993,0.0713177633474326,-0.20544837112056,30.6831165892993,378.154062138353,1.14602852025115e-104,4.40952379862258e-104,"Cell-matrix adhesion","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Negative.regulation.of.cell.adhesion",0.0401528312264871,-0.0605835175700612,-0.100736348796548,8.41610555785024,417.429232286703,6.27829849996552e-16,7.46874881940343e-16,"Negative regulation of cell adhesion","6","Dkk3","Lgals1",NA
"Signal.transduction",0.0198259325999921,-0.083228626679846,-0.103054559279838,9.34760173110931,423.778817350739,5.19972874301517e-19,6.37824758638848e-19,"Signal transduction","6;10;15;1;10;15;2;3;4;6;6;11;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Itga8;Rhob;Ccl8;Dact1;Kcnk2;Npy"
"Cell.surface.receptor.signaling.pathway",0.0357598151213908,-0.0684054682790281,-0.104165283400419,14.2528747720467,407.38670681011,1.10764237047547e-37,1.58579612633479e-37,"Cell surface receptor signaling pathway","6;10;15;2;3;4;6;6;11;10;15","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1","Dkk3;Itga8;Ccl8;Dact1"
"Enzyme.linked.receptor.protein.signaling.pathway",0.283193437426466,0.152473222076987,-0.130720215349479,46.871037774812,383.886242759614,6.33996560809269e-161,1.95152066374103e-159,"Enzyme linked receptor protein signaling pathway","6;10;15;2;3;4;6;6;11;10;15","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1","Itga8"
"Transmembrane.receptor.protein.serine.threonine.kinase.signaling.pathway",0.331333339649378,0.179756403169325,-0.151576936480053,45.4029249188026,394.849801354434,8.25083335441856e-159,2.25751968169508e-157,"Transmembrane receptor protein serine/threonine kinase signaling pathway","6;10;15;2;3;4;6;6;11;10;15","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1","Itga8"
"Transforming.growth.factor.beta.receptor.signaling.pathway",0.392929891038489,0.172902968180783,-0.220026922857706,42.1137824881875,393.249608712528,8.28317459033024e-148,1.04601627839427e-146,"Transforming growth factor beta receptor signaling pathway","2;3;4;6;6;11;10;15","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1","Itga8"
"G.protein.coupled.receptor.signaling.pathway",-0.116014853320456,-0.142635898603019,-0.0266210452825634,-32.7646436157463,393.792389854839,1.56094654247809e-114,7.25251105821187e-114,"G protein-coupled receptor signaling pathway","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Ccl8;Kcnk2;Npy"
"Adenylate.cyclase.modulating.G.protein.coupled.receptor.signaling.pathway",-0.0662633818173177,-0.0989071702500967,-0.032643788432779,-11.5284153305732,427.535897717521,5.82958958008255e-27,7.60549104156465e-27,"Adenylate cyclase-modulating G protein-coupled receptor signaling pathway","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Adenylate.cyclase.activating.G.protein.coupled.receptor.signaling.pathway",-0.164563389351478,-0.173128412813393,-0.00856502346191476,-25.5938212751016,412.510936472348,3.35126913060029e-87,9.62390697854602e-87,"Adenylate cyclase-activating G protein-coupled receptor signaling pathway","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Positive.regulation.of.cytosolic.calcium.ion.concentration",-0.134053918276093,-0.091281045290565,0.0427728729855283,-28.8676670400005,404.900738620359,2.52617799364281e-100,8.7925276457179e-100,"Positive regulation of cytosolic calcium ion concentration","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Integrin.mediated.signaling.pathway",0.188339399913113,0.00373416086348608,-0.184605239049627,24.7026877101649,392.270222391696,6.13319750805882e-82,1.5773366959368e-81,"Integrin-mediated signaling pathway","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Cell.cell.signaling",0.0273866005325738,0.0616867292157785,0.0343001286832047,10.118658766126,415.045204737584,1.17032248913079e-21,1.45367925825199e-21,"Cell-cell signaling","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Dact1"
"Chemical.synaptic.transmission",-0.00597084789895452,0.0540043858947653,0.0599752337937198,-1.26930296771971,393.477088853025,0.205083281761485,0.209550863625583,"Chemical synaptic transmission","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Neurotransmitter.secretion",-0.132671127982592,0.133366090026257,0.266037218008849,-12.7683032684559,388.882241973005,2.01309095750995e-31,2.7463914032511e-31,"Neurotransmitter secretion","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Multicellular.organism.development",0.173905220920858,0.0771321872431733,-0.0967730336776849,45.0632707303647,377.10061440903,6.86230396058604e-154,1.25173507429208e-152,"Multicellular organism development","6;10;15;1;10;15;2;3;4;6;6;11;6;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dkk3;Itga8;Rhob;Dact1;Kcnk2;Prdx4;Npy"
"Gamete.generation",0.0633452961712884,0.0772537862741762,0.0139084901028878,10.4196877657951,369.932603300078,1.83506349840631e-22,2.28802221003825e-22,"Gamete generation","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Prdx4"
"Spermatogenesis",0.0287415997095814,0.150431707585605,0.121690107876024,4.31713427571726,377.45487827035,2.02234608538225e-05,2.2084377983387e-05,"Spermatogenesis","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Prdx4"
"Gastrulation",0.234207965331403,0.148825816239494,-0.0853821490919092,32.0362661543602,374.781720164013,2.31573684745373e-109,9.70638636060392e-109,"Gastrulation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Dact1"
"Nervous.system.development",0.198625086893395,0.126008097961471,-0.0726169889319246,44.8611961420215,398.707145121151,6.73818555557418e-158,1.74660862427383e-156,"Nervous system development","2;3;4;6;6;11;6;6;6;8;10;11;15;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Dact1;Npy"
"Axonogenesis",0.202189313950742,0.101201230644363,-0.100988083306379,27.4614443218056,378.65893524949,3.96460050132566e-92,1.2127737558403e-91,"Axonogenesis","6","Sult5a1","Nrn1",NA
"Central.nervous.system.development",0.208963186743302,0.129635352863047,-0.0793278338802543,44.6642299814356,396.875046273347,7.03538407974782e-157,1.64996507584562e-155,"Central nervous system development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Npy"
"Brain.development",0.239701415482751,0.126803529305879,-0.112897886176872,35.5490543952029,380.766330443691,5.05039066212261e-123,2.76368600121709e-122,"Brain development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Npy"
"Sensory.organ.development",0.243144575196376,0.227934377299436,-0.0152101978969399,43.4543926040829,382.079909827446,6.26109128070871e-150,8.56552071041399e-149,"Sensory organ development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Kcnk2"
"Endoderm.development",0.268537669324434,0.129844774512318,-0.138692894812116,28.4698568272479,391.251740493977,2.22940829780666e-97,7.34437181718917e-97,"Endoderm development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Heart.development",0.290275411586273,0.198356141944314,-0.0919192696419586,41.5633623365234,395.161917776202,2.46738535024244e-146,2.85926419998682e-145,"Heart development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Kcnk2"
"Muscle.organ.development",0.328845577243535,0.198760804790008,-0.130084772453528,38.3607037018365,368.708858829264,8.94205735143147e-131,6.42914342420438e-130,"Muscle organ development","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Skeletal.muscle.tissue.development",0.268487222184425,0.134593636165391,-0.133893586019034,25.6466621447326,374.903204483597,1.68481421537614e-84,4.62267967171447e-84,"Skeletal muscle tissue development","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Sex.differentiation",0.319481501655714,0.212466984877221,-0.107014516778493,40.9981276747677,376.439231972706,6.70954345407703e-141,6.5434656458078e-140,"Sex differentiation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Prdx4"
"Female.pregnancy",0.267660413556218,0.15780310340366,-0.109857310152558,40.0703348156914,451.02217040634,1.05816883973991e-150,1.57923682900578e-149,"Female pregnancy","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Aging",0.247282421259086,0.161977830235398,-0.0853045910236882,40.1201032829808,414.641632864662,7.62798465133133e-145,8.07910202318426e-144,"Aging","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Response.to.nutrient",0.0735021169820035,0.040740912063268,-0.0327612049187354,12.4574740527274,410.859879788735,1.92959381525571e-30,2.61078284069626e-30,"Response to nutrient","6;9;10;14;15;6;6;8;10;11;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Sensory.perception",-0.00175563413618086,-0.0765160793961074,-0.0747604452599266,-0.375300591222315,415.53471592067,0.707628417648903,0.711238766718541,"Sensory perception","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
